Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,200.49,201.03,198.59,201.02,222353500,172.95,0.0,172.95,172.95
2016-01-05,2016,1,5,Tuesday,01,2016-01,201.4,201.9,200.05,201.36,110845800,173.25,0.0016914508505248005,173.1,173.1
2016-01-06,2016,1,6,Wednesday,01,2016-01,198.34,200.06,197.6,198.82,152112600,171.06,-0.012614080547340034,172.42,172.42
2016-01-07,2016,1,7,Thursday,01,2016-01,195.33,197.44,193.59,194.05,213436100,166.96,-0.023991485916635025,171.055,171.055
2016-01-08,2016,1,8,Friday,01,2016-01,195.19,195.85,191.58,191.92,209817200,165.12,-0.010976779264320724,169.868,169.868
2016-01-11,2016,1,11,Monday,02,2016-02,193.01,193.41,189.82,192.11,187941300,165.29,0.00099006250404865,169.105,169.105
2016-01-12,2016,1,12,Tuesday,02,2016-02,193.82,194.55,191.14,193.66,172330500,166.62,0.008068404606133228,168.75,168.75
2016-01-13,2016,1,13,Wednesday,02,2016-02,194.45,194.86,188.38,188.83,221168900,162.47,-0.02494062997612012,167.965,167.965
2016-01-14,2016,1,14,Thursday,02,2016-02,189.55,193.26,187.66,191.93,240795600,165.13,0.01641663635384294,167.64999999999998,167.64999999999998
2016-01-15,2016,1,15,Friday,02,2016-02,186.77,188.76,185.52,187.81,324846400,161.59,-0.02146597768160008,167.044,167.044
2016-01-19,2016,1,19,Tuesday,03,2016-03,189.96,190.11,186.2,188.06,195244400,161.8,0.0013312816725914445,166.56727272727272,166.56727272727272
2016-01-20,2016,1,20,Wednesday,03,2016-03,185.03,187.5,181.02,185.65,286547800,159.73,-0.012815293402149597,165.9975,165.9975
2016-01-21,2016,1,21,Thursday,03,2016-03,186.21,188.87,184.64,186.69,195772900,160.62,0.0056020246845600585,165.58384615384617,165.58384615384617
2016-01-22,2016,1,22,Friday,03,2016-03,189.78,190.76,188.88,190.52,168319600,163.92,0.02051537227965272,165.465,165.465
2016-01-25,2016,1,25,Monday,04,2016-04,189.92,190.15,187.41,187.64,130371700,161.44,-0.015116637023007695,164.64285714285714,165.19666666666666
2016-01-26,2016,1,26,Tuesday,04,2016-04,188.42,190.53,188.02,190.2,141036800,163.64,0.013643208749468005,163.9564285714286,165.099375
2016-01-27,2016,1,27,Wednesday,04,2016-04,189.58,191.56,187.06,188.13,185681700,161.86,-0.010883246739235908,163.29928571428567,164.90882352941176
2016-01-28,2016,1,28,Thursday,04,2016-04,189.96,190.2,187.16,189.11,143798800,162.71,0.005208978002022802,162.99571428571429,164.78666666666666
2016-01-29,2016,1,29,Friday,04,2016-04,190.02,193.88,189.88,193.72,210529300,166.67,0.024377443884725736,163.10642857142855,164.8857894736842
2016-02-01,2016,2,1,Monday,05,2016-05,192.53,194.58,191.84,193.65,136061600,166.61,-0.00036143804001709245,163.20071428571427,164.972
2016-02-02,2016,2,2,Tuesday,05,2016-05,191.96,191.97,189.54,190.16,182564900,163.61,-0.01802211283984756,162.9857142857143,164.90714285714287
2016-02-03,2016,2,3,Wednesday,05,2016-05,191.41,191.78,187.1,191.3,205054900,164.59,0.005994702070012847,163.13714285714286,164.89272727272726
2016-02-04,2016,2,4,Thursday,05,2016-05,190.71,192.75,189.96,191.6,139531800,164.85,0.0015684306922918445,163.11714285714288,164.89086956521737
2016-02-05,2016,2,5,Friday,05,2016-05,190.99,191.67,187.2,187.95,180788300,161.71,-0.01905022226138653,163.12571428571428,164.75833333333333
2016-02-08,2016,2,8,Monday,06,2016-06,185.77,186.12,182.8,185.42,191526700,159.53,-0.01346076742972313,162.96357142857144,164.54919999999998
2016-02-09,2016,2,9,Tuesday,06,2016-06,183.36,186.94,183.2,185.43,184513100,159.54,5.3945305199309956e-05,162.95000000000002,164.3565384615385
2016-02-10,2016,2,10,Wednesday,06,2016-06,186.41,188.34,185.12,185.27,148214100,159.4,-0.0008630783241666551,162.86285714285714,164.17296296296297
2016-02-11,2016,2,11,Thursday,06,2016-06,182.34,184.1,181.09,182.86,219058900,157.33,-0.013007900963512009,162.39214285714283,163.92857142857142
2016-02-12,2016,2,12,Friday,06,2016-06,184.96,186.65,183.96,186.63,127632400,160.57,0.020616862932301583,162.33,163.81275862068964
2016-02-16,2016,2,16,Tuesday,07,2016-07,188.77,189.81,187.63,189.78,120250700,163.28,0.016878419805269385,162.3042857142857,163.79500000000002
2016-02-17,2016,2,17,Wednesday,07,2016-07,191.16,193.32,191.01,192.88,136009500,165.95,0.016334644004845966,162.5964285714286,163.86451612903227
2016-02-18,2016,2,18,Thursday,07,2016-07,193.2,193.27,191.72,192.09,102343000,165.27,-0.004095839236034293,162.77928571428575,163.9084375
2016-02-19,2016,2,19,Friday,07,2016-07,191.17,192.18,190.45,192.0,114793000,165.19,-0.0004686493352583643,162.67357142857145,163.94727272727275
