Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2016-01-04,2016,1,4,Monday,01,2016-01,58.77,58.83,57.6,58.26,13521500,48.89,0.0,48.89,48.89
2016-01-05,2016,1,5,Tuesday,01,2016-01,58.79,58.79,57.98,58.65,9617800,49.21,0.006694331472019366,49.05,49.05
2016-01-06,2016,1,6,Wednesday,01,2016-01,57.7,58.53,57.64,58.13,8266300,48.78,-0.008866523888254596,48.96,48.96
2016-01-07,2016,1,7,Thursday,01,2016-01,56.88,57.91,56.16,56.69,11140900,47.57,-0.02477202523054778,48.6125,48.6125
2016-01-08,2016,1,8,Friday,01,2016-01,57.41,57.73,56.53,56.63,10427000,47.52,-0.001058142165389464,48.394,48.394
2016-01-11,2016,1,11,Monday,02,2016-02,57.0,58.12,56.78,57.82,10757300,48.52,0.02101362680257335,48.415,48.415
2016-01-12,2016,1,12,Tuesday,02,2016-02,58.39,59.53,58.18,59.46,12375800,49.89,0.02836379910392206,48.62571428571429,48.62571428571429
2016-01-13,2016,1,13,Wednesday,02,2016-02,59.8,60.0,57.8,57.87,11303600,48.56,-0.026740688059176287,48.6175,48.6175
2016-01-14,2016,1,14,Thursday,02,2016-02,57.51,59.43,56.92,58.98,11444100,49.49,0.019180907893478816,48.714444444444446,48.714444444444446
2016-01-15,2016,1,15,Friday,02,2016-02,57.07,58.39,56.75,58.0,15246100,48.67,-0.01661577266680425,48.71,48.71
2016-01-19,2016,1,19,Tuesday,03,2016-03,58.67,59.39,58.12,58.55,12289000,49.13,0.009482660035809332,48.74818181818182,48.74818181818182
2016-01-20,2016,1,20,Wednesday,03,2016-03,57.57,57.96,54.94,56.92,22786400,47.76,-0.02783950133200197,48.66583333333333,48.66583333333333
2016-01-21,2016,1,21,Thursday,03,2016-03,57.84,59.38,57.67,59.03,20888500,49.53,0.03706950215174043,48.73230769230769,48.73230769230769
2016-01-22,2016,1,22,Friday,03,2016-03,57.55,59.4,57.41,59.17,32820200,49.65,0.0023716386671599476,48.79785714285715,48.79785714285715
2016-01-25,2016,1,25,Monday,04,2016-04,59.36,59.38,57.61,57.71,13554300,48.43,-0.024674603057526556,48.765,48.77333333333333
2016-01-26,2016,1,26,Tuesday,04,2016-04,57.92,58.87,57.8,58.61,8898100,49.18,0.015595301715662702,48.762857142857136,48.79875
2016-01-27,2016,1,27,Wednesday,04,2016-04,58.87,58.96,57.26,57.63,12491300,48.36,-0.016720435161803437,48.73285714285714,48.77294117647059
2016-01-28,2016,1,28,Thursday,04,2016-04,58.29,59.42,58.0,59.29,11832400,49.75,0.028804165233924817,48.888571428571424,48.82722222222222
2016-01-29,2016,1,29,Friday,04,2016-04,59.78,60.88,59.64,60.77,13224400,50.99,0.024962033865347344,49.13642857142857,48.94105263157895
2016-02-01,2016,2,1,Monday,05,2016-05,60.66,61.79,60.27,61.4,9529100,51.52,0.01036690800436113,49.35071428571428,49.07
2016-02-02,2016,2,2,Tuesday,05,2016-05,60.66,60.9,60.18,60.7,9407400,51.1,-0.008169766112392729,49.43714285714286,49.166666666666664
2016-02-03,2016,2,3,Wednesday,05,2016-05,60.88,61.13,58.5,59.53,12254500,50.12,-0.019275548318726132,49.54857142857143,49.21000000000001
2016-02-04,2016,2,4,Thursday,05,2016-05,59.41,59.45,57.99,58.29,13944900,49.07,-0.020829433862707303,49.51857142857143,49.203913043478266
2016-02-05,2016,2,5,Friday,05,2016-05,58.1,58.2,54.25,54.49,24529000,45.87,-0.06519143884231593,49.31857142857143,49.065
2016-02-08,2016,2,8,Monday,06,2016-06,53.09,54.47,52.63,54.14,21457500,45.58,-0.006423255810085626,49.065,48.9256
