Year,Day,Down_Day_Loss,Up_Day_Gain,Loses_More_Than_Gains,Difference,Negative_Count,Positive_Count,More_Negative_Days,Year_Total_Negative,Year_Total_Positive,Year_More_Negative
2016,Monday,0.00779,0.00973,False,0.00194,23,23,False,135,117,True
2016,Tuesday,0.00714,0.01062,False,0.00348,24,28,False,135,117,True
2016,Wednesday,0.00852,0.01166,False,0.00314,31,21,True,135,117,True
2016,Thursday,0.00823,0.00914,False,0.00091,28,23,True,135,117,True
2016,Friday,0.01035,0.00707,True,0.00328,29,22,True,135,117,True
2017,Monday,0.00537,0.00662,False,0.00125,22,24,False,125,126,False
2017,Tuesday,0.00547,0.00677,False,0.0013,27,24,True,125,126,False
2017,Wednesday,0.00652,0.007,False,0.00048,21,31,False,125,126,False
2017,Thursday,0.00585,0.00832,False,0.00247,29,22,True,125,126,False
2017,Friday,0.01146,0.00863,True,0.00283,26,25,True,125,126,False
2018,Monday,0.01025,0.00761,True,0.00264,21,27,False,110,141,False
2018,Tuesday,0.00794,0.00759,True,0.00035,17,34,False,110,141,False
2018,Wednesday,0.01202,0.01058,True,0.00144,25,25,False,110,141,False
2018,Thursday,0.0103,0.00755,True,0.00275,23,28,False,110,141,False
2018,Friday,0.01117,0.01411,False,0.00294,24,27,False,110,141,False
2019,Monday,0.00887,0.00447,True,0.0044,27,21,True,103,149,False
2019,Tuesday,0.00845,0.00937,False,0.00092,23,29,False,103,149,False
2019,Wednesday,0.00775,0.00791,False,0.00016,18,33,False,103,149,False
2019,Thursday,0.01089,0.00761,True,0.00328,14,36,False,103,149,False
2019,Friday,0.008,0.01139,False,0.00339,21,30,False,103,149,False
2020,Monday,0.02548,0.02092,True,0.00456,21,27,False,123,129,False
2020,Tuesday,0.01328,0.01875,False,0.00547,24,28,False,123,129,False
2020,Wednesday,0.01891,0.0163,True,0.00261,24,28,False,123,129,False
2020,Thursday,0.01804,0.02113,False,0.00309,27,24,True,123,129,False
2020,Friday,0.01449,0.02015,False,0.00566,27,22,True,123,129,False
