Year,Day,Down_Day_Loss,Up_Day_Gain,Loses_More_Than_Gains,Difference,Negative_Count,Positive_Count,More_Negative_Days,Year_Total_Negative,Year_Total_Positive,Year_More_Negative
2016,Monday,0.00525,0.00529,False,4e-05,21,25,False,114,138,False
2016,Tuesday,0.00699,0.00608,True,0.00091,20,32,False,114,138,False
2016,Wednesday,0.00543,0.00585,False,0.00042,24,28,False,114,138,False
2016,Thursday,0.00478,0.00469,True,9e-05,23,28,False,114,138,False
2016,Friday,0.00685,0.00675,True,0.0001,26,25,True,114,138,False
2017,Monday,0.00179,0.00375,False,0.00196,20,26,False,107,144,False
2017,Tuesday,0.00317,0.00337,False,0.0002,23,28,False,107,144,False
2017,Wednesday,0.00258,0.00319,False,0.00061,19,33,False,107,144,False
2017,Thursday,0.00377,0.00322,True,0.00055,25,26,False,107,144,False
2017,Friday,0.00157,0.00328,False,0.00171,20,31,False,107,144,False
2018,Monday,0.01067,0.00679,True,0.00388,21,27,False,116,135,False
2018,Tuesday,0.00769,0.00563,True,0.00206,21,30,False,116,135,False
2018,Wednesday,0.0068,0.00831,False,0.00151,24,26,False,116,135,False
2018,Thursday,0.0069,0.00757,False,0.00067,27,24,True,116,135,False
2018,Friday,0.00913,0.00583,True,0.0033,23,28,False,116,135,False
2019,Monday,0.00617,0.00494,True,0.00123,22,26,False,102,150,False
2019,Tuesday,0.0054,0.00615,False,0.00075,24,28,False,102,150,False
2019,Wednesday,0.00592,0.00461,True,0.00131,19,32,False,102,150,False
2019,Thursday,0.00466,0.00573,False,0.00107,19,31,False,102,150,False
2019,Friday,0.00611,0.00698,False,0.00087,18,33,False,102,150,False
2020,Monday,0.0,0.0,False,0.0,0,0,False,0,0,False
2020,Tuesday,0.0,0.0,False,0.0,0,0,False,0,0,False
2020,Wednesday,0.0,0.0,False,0.0,0,0,False,0,0,False
2020,Thursday,0.0,0.0,False,0.0,0,0,False,0,0,False
2020,Friday,0.0,0.0,False,0.0,0,0,False,0,0,False
